Username (SteamID),Review
user_76561198048565866,"After 11 years of rampant cheating, they decided to add an anti cheat yesterday. 
They picked on that is not compatible with linux, unless they literally check a box, which they did not do and said they will not do. So all linux users, including all steam decks, now cant play the game. just straight up locked out. I will be trying to get my money back, and you'll never catch me giving Rockstar money ever again. This is the last straw for me. I do not reccoment this game, or red dead, or gta 6. This company will cheat you out of every cent they can."
user_76561198104032233,"GTA V singleplayer
100% fun

GTA V online
40% loading screens
20% actually playing
20% players leaving heists
20% ""network error"" (potato servers)"
user_76561199218287424,"Spend 370 Hours grinding cash
Rockstar detects too much cash and assumes its modded
banned
repeat 


10/10 would get banned again"
user_76561198288086613,"i have played over 1,000 hours of GTA5. gotta say i enjoy the immersion, the various challenges, both in story mode and online, but dislike that the more i do, the greater the odds of my businesses getting raided. i would have expected the raids to be based on me gaining wealth or becoming so successful that enemies noticed me but instead the game hits you with a raid simply based on if you fail to multitask quickly enough. *shrug* it is what it is. until sep 17 2024, i would have said that the worst part was the cheaters, however rockstar surprised me. as of today, they demand that i allow some 3rd-party company to gain intimate access to my computer (kernel-level access) or they won't let me play the game i payed for. no way (in very profane terms) has this been necessary for the past 11 years, it's not necessary now, it adds no value to the game, it simply permits spyware to see everything inside my computer, which includes keylogging, personal files, financial records, legal documents, and browser history. nope. i can't go there. the game has been great, i think it is one of the best i've ever played (see previous transmission re: 1,000 hours of game play), but this sort of blackmail should be illegal. i uninstalled the game, dropped to steam to explain why, and will go find something else to play. GTA5, it was good to know you, but then you got weird. i'm out."
user_76561199746810111,"DO NOT BUY ON STEAM! Rockstar has disabled GTA Online for Steam Deck players. BattleEye IS compatible with Steam Deck, Rockstar is just CHOOSING to cut us off!  I will never trust a Rockstar game ever again.  Trash company."
user_76561198095069234,"I like this game. I really do - it's one of the most fun experiences to play with friends hands down.
But I can't let go of what happened recently.

I got my account suspended, and character deleted, for violating their Terms of Service - I never cheated nor empathized with cheaters and I mostly played alone. 
I'm writing this negative review for the negative experience I have been given by support after submitting two support tickets, not only trying to appeal my suspension, but to understand why this had happened. In classic Rockstar fashion, I was not given a direct response. Maybe it's a software I have that conflicted with the new anti-cheat, but I couldn't know for sure. (if they indeed did disclose it I could avoid any future software conflicts, so problem is not solved. Shouldn't take an degree to understand this).

I'm more upset at the time I've spent, while I could've played other games or done other things instead of spending +600 online grinding unhappily on my own. But that's on me.

I feel betrayed and disrespected, this is not how you treat your clients - ""best regards"", they said.

(very dramatic, I know)

EDIT: after around a week of the second ticket, I received an e-mail regarding the status of my account - my suspension was lifted after Rockstar reviewed my account.

I understand bros cheat a lot, hence the ""no ban appeals"" policy. But you simply cannot apply these rules for these specific situations. I appreciate whomever reviewed my account."
user_76561198030341881,GTAV online is ruined by modding. My character was artificially leveled and i was given a bunch of achievements within a second. I still have fun in invite only servers with my friends
user_76561198060191168,"Rockstar does it again. Understand that the people that work there are a bunch of azzgoblins hellbent on making you have the worst experience possible until you eventually hate GTAO and quit playing it, or at least quit playing it. 
In there last kcid move they made GTAO unplayable for Steam Deck users, way to go guys!
If you are on PC you have to install some anti-cheat malware that requires crazy access to your system that modders and cheaters will by-pass at some point anyways and Rockstar will no care when they do.

I am so glad I never bought Red Dead Redemtion2 and I will never get GTA6. You probably shouldn't either."
user_76561199083523510,"What the actual f..... My account earned a 30 day suspension and a complete character wipe and for what?... Seems this new anti cheat thinks 90 hours of full legit game play is unacceptable although real hackers continue to enjoy the game. It feels as though R* wants to rid themselves of all players. Those who played on linux and steam deck can no longer play and now apparently every other player too, I have spoken to and seen countless other players being banned for nothing with over 2000+ hours on the game. There isnt even a point in playing the game again, I will never put in anymore of my time nor will i get GTA6 just for all my progress to be wiped away for ZERO reason. Cheating has always been a issue on GTA but this... this aint it. R* is punishing the wrong people."
user_76561198096706151,"Game is fun, but can't be played by linux or steam deck users now. Modders will be back in a week but linux players won't. Refund the game under Steam Play Issues if you are a linux user."
